Num,Name,City,City2,City3,City4,Bunnum,Roadadd,X,Y
22038,청풍호반케이블카,충청북도,제천시,청풍면,물태리,Feb-98,문화재길,128.1667809,37.00126451
22039,서계박세당고택,경기도,의정부시,장암동,,197,동일로128번길,127.0576221,37.69976058
22040,와송정사,충청남도,청양군,화성면,화암리,222,산당로,126.701782,36.45436926
22041,임진물새롬센터오토캠핑장,경기도,연천군,미산면,우정리,321-1,청정로1706번길,127.017584,38.05228063
22042,한송오토캠핑장,경기도,가평군,설악면,묵안리,171-4,묵안로,127.5350625,37.60132627
22043,토토큰바위야영장,경기도,가평군,북면,화악리,1017-1,화악산로,127.52788,37.96217691
22044,산사랑글램핑,강원특별자치도,원주시,소초면,학곡리,150-9,구룡사로,128.0575501,37.42705019
22045,설악동자동차야영장,강원특별자치도,속초시,설악동,,Jan-43,설악산로,128.5166067,38.16749259
22046,스카이운학캠핑장,충청북도,제천시,백운면,운학리,313-1,운학길,128.0002684,37.21024428
22047,테하스랜드글램핑장,충청남도,논산시,연무읍,동산리,754-5,안심로220번길,127.1066951,36.1410635
22048,청양고운캠핑장,충청남도,청양군,청양읍,군량리,381-2,식물원길,126.7660836,36.43563381
22049,밀모빨강치마자동차야영장,전라북도,무주군,적상면,사산리,산235,밀모길,127.6694843,35.93121757
22050,와룡자연휴양림자동차야영장,전라북도,장수군,천천면,비룡리,산84-2,비룡로,127.474325,35.67044216
22051,산소파크글램핑청송오토캠핑장,경상북도,청송군,부남면,화장리,381-1,얼음골로,129.1571014,36.29270754
22052,금수문화공원야영장,경상북도,성주군,금수면,무학리,47,,128.1223658,35.92015019
22053,농월정오토캠핑장,경상남도,함양군,안의면,월림리,727-1,농월정길,127.7815594,35.62465347
22054,소나무농원캠핑장,경기도,포천시,창수면,추동리,824-1,포천로2811번길,127.1565887,37.9951071
22055,알프스농원캠핑장,경기도,포천시,창수면,추동리,821-9,포천로2811번길,127.1556668,37.993766
22056,선진캠핑,충청남도,당진시,신평면,부수리,Feb-75,산정길,126.8158307,36.8954373
22057,메이더카라반,제주특별자치도,제주시,구좌읍,동복리,1651-1,일주동로,126.7059251,33.55261332
22058,무거카라반,제주특별자치도,제주시,조천읍,신흥리,15,조함해안로,126.6549082,33.5488013
22059,농사체험야영장,제주특별자치도,서귀포시,성산읍,고성리,352-52,섭지코지로25번길,126.920118,33.4486335
22060,쇠소깍오토파크,제주특별자치도,서귀포시,하효동,,1213-3,칠십리로,126.6145065,33.24953932
